.provi04;
16034501;ASIGNACIONES CANOTAJE  2016
16034901;(ESQUI NAUTICO) UCRANIA AD 2016
16035501;(BALONMANO) RUSIA - ESLOVAQUIA AD 2016
16035701;(ENTRENADORES) AD 2016
16036100;
16036101;(PESAS) ASIGNACIONES A DEPORTISTAS 2016
16036400;
16037201;(PATIN CARRERA) ALEMANIA AD 2016
16038101;(PESAS) CONC BULGARIA Y PART JJOO BRASIL
16039001;(VOLEIBOL PLAYA) ADO 400 BRASIL 2016
16040100;
16040400;
16040401;(ACTIVIDADES ALTO RENDIMIENTO) AGOSTO- SEPTIEMBRE
16040403;
16040501;(ASIGNACION) TENIS DE CAMPO AD 2016
16041901;(TENIS DE CAMPO) PARTICIPACION COPA DAVIS CANADA
16042070;
16042101;PDE BALONMANO ADECUACION AREA TECNICA 2016
16042601;(TAEKWONDO) PANAMERICANO URUGUAY 2016
16042700;
16042701;COMPLEMENTO PDE BALONMANO ASIG DEP 2016
16042901;(TENIS DE CAMPO) GIRA EUROPEA ADO 400 - 2016
16043001;(TENIS DE CAMPO) MUNDIAL BUDAPEST- HUNGRIA 2016
16044801;CURSO DE CAPACITACION JUEZ INTERNACIONAL GAF
16045601;(ACTIVIDADES ALTO RENDIMIENTO) VARIOS 2016 ADO 400
16045801;PREPARACION DEPORTISTA YSUMI ORELLANA
16046000;
16046001;LIGA BALONMANO FINALES 2016 ACT 1
16046002;LIGA BALONMANO OCTOGONAL 2016
16046003;LIGA NACIONAL BALONMANO HEXAGONAL 2016
16046401;GIRA MENDOZA BALONMANO PDE 2016
16046501;PARTICIPACION CAMPEONATO SUDAMERICANO JUVENIL GAF
16046801;BALONMANO REPATRIADOS 2016
16046901;BALONMANO DIFERENACIA PASAJE COMPLENTO P-237
16048001;ACTIVIDADES AD 2016 SEPTIEMBRE - NOVIEMBRE
16048010;
16048301;ACTIVIDADES AD NOVIEMBRE DICIEMBRE 2016
16053701;
16060100;
16060809;
16064001;
16076823;
16078501;
16098701;1500040795 NATACION APOYO D. 2015
16099901;LIGA VOLEY PLAYA ACT 9
16120628;
16237010;
16237020;
16267040;
16306190;
16319010;
16480010;
167b3010;
167c0402;
16925010;
16999010;
16999900;
16999901;ADMINISTRACION ADO 2016
16999904;
169RQ030;
16AT0101;ATLETISMO PRIMER TRIMESTRE 2016
16AT0102;ATLETISMO 1 TRIMESTRE 2016
16AT0201;ATLETISMO PRIMER TRIMESTRE ACT 1 MES FEBRERO
16AT0202;ATLETISMO PRIMER TRIMESTRE FEBRERO
16AT0203;ATLETISMO PRIMER TRIMESTRE VICTOR ARAVENA COCHABAMBA
16AT0204;(ATLETISMO) ACT 3 MARIA PAZ - CUBA FEBRERO 2016
16AT0205;ATLETISMO USA CONC. G.BARROILHET FEB A JULIO
16AT0206;ATLETISMO PASAJE SERGIO AGUAYO CUBA FEBRERO 2016
16AT0301;ATLETISMO ECUADOR CUENCA
16AT0302;ATLETISMO ISIDORA JIMENEZ ECUADOR
16AT0303;ATLETISMO RELEVO 2016
16AT0304;ATLETISMO ARG IVANNA GALLARDO ARG
16AT0305;ATLETISMO KAREN GALLARDO ARGENTINA
16AT0307;ATLETISMO MARIO SALDIAS ARG
16AT0308;ASIGNACION DANIEL PINEDA MACARENA REYES MARZO 2016
16AT0309;ATLETISMO DIEGO SEPULVEDA MARZO 2016
16AT0401;ATLETISMO MARATON HOLANDA ABRIL 2016
16AT0402;ATLETISMO MARATON HOLANDA ABRIL 2016
16AT0403;ATLETISMO MARATON HOLANDA ABRIL 2016
16AT0404;ATLETISMO MARCHA PORTUGAL 2016
16AT0405;ATLETISMO ALEMANIA NATALIA ROMERO 2016 ABRIL
16AT0406;ATLETISMO COLOMBIA ABRIL 2016
16AT0407;ATLETISMOMACARENA R. DANIEL P. CRIASTIAN R. COLOMBIA AB 2016
16AT0408;ATLETISMO COLOMBIA ABRIL 2015 IVANNA GALLARDO
16AT0409;ATLETISMO CARLOS DIAZ ESPAãA ABRIL
16AT0501;ATLETISMO CONC. NACIONAL CONCEPCION MAYO 2016
16AT0502;ATLETISMO BRASIL DARIO CORREA MAYO 2016
16AT0503;ATLETISMO TULIO MOYA BRASIL MAYO 2016
16AT0504;ATLETISMO BRASIL LUIS FERNANDEZ MAYO 2016 KINE
16AT0505;ATLETISMO BOLIVIA MAYO 2016
16AT0506;ATLETISMO ESPAãA NATALIA DUCO MAYO 2016
16AT0507;ATLETISMO ESPAãA ROBERTO TELLO MAYO 2016
16AT0508;ATLETISMO CUBA MARIA PAZ RIOS MAYO 2016
16AT0509;ATLETISMO RELEVO BRASIL MAYO S. VIATICO
16AT0601;ATLETISMO ESPAãA IVAN LOPEZ DIEGO SEPULVEDA JUNIO 2016
16AT0602;ATLETISMO ESPAãA ALVARO C. JUNIO 2016
16AT0604;ATLETISMO ESPAãA ALFREDO SEPULVEDA JUNIO 2016
16AT0605;ATLETISMO COLOMBIA DANIEL PINEDA JUNIO 2016
16AT0606;ATLETISMO ESPAãA ISIDORA JIMENEZ JUNIO 2016
16AT0607;ATLETISMO ESPAãA HUMBERTO MANSILLA JUNIO 2016
16AT0608;ATLETISMO ESPAãA GABRIEL KEHR JUNIO 2016
16AT0609;ATLETISMO COLOMBIA JUNIO MACARENA REYES J.P GERMAIN
16AT0610;ATLETISMO CONC NACIONAL JUNIO  NATALIA ROMERO 2016
16AT0611;ATLETISMO BRASIL ERIKA OLIVERA CONC JUNIO 2016
16AT0612;ATLETISMO CONC. ESPAãA 2016 JOSE BALLIVIAN
16AT0701;ATLETISMO CONC. ECUADOR VICTOR A. JULIO 2016
16AT0702;ATLETISMO COLOMBIA JULIO 2016 VALENTINA SALAZAR
16AT0703;ATLETISMO KAREN GALLARDO JULIO 2016
16AT0704;ATLETISMO DARIO CORREA JULIO 2016
16AT0705;ATLTETISMO NORKA MORETIC TURQUI JULIO
16AT0706;ATLETISMO MUNDIAL JUNIOR JULIO
16AT0801;ATLETISMO NATALIA DUCO ESPAãA
16AT1001;ATLETISMO COLOMBIA CARLOS DIAZ OCTUBRE
16B07010;
16BD0201;(BADMINTON) ACT 1 PERU FEBRERO
16BL0101;BALONMANO ESPAãA ENERO 2016
16BL0301;(BALONMANO) DAMAS ACT 1 ARG- BRA MARZO
16BL0302;BALONMANO HOLANDA MARZO TECNICO
16BL0401;REPATRIACIONES CALLEJAS-CEBALLOS FEUCHT
16BL05RP;REPATRIACIONES BALONMANO ACT JUNIO ARG
16BL0601;BALONMANO ARGENTINA 2016 JUNIO 2016
16BL0602;
16BL0701;GIRA BALONMNAO RUSIA ESLOVAQUIA JULIO 2016
16BL1001;BALONMANO REPATRIACIONES 2016
16BQ0401;BASQUETBOL BRASIL 2016
16BQ0501;BASQUETBOL VENEZUELA ARGENTINA MATO 2016
16BQ0602;BALONCESTO JUNIO 2016 LIMA-CARACAS
16BQ0603;BALONCESTO JUNIO 2016 MIAMI-STO DOMINGO-SAN JUAN
16BQ0604;BALONCESTO DAMAS JUNIO 2016 ARGENTINA
16BQ0701;REPATRIACIONES BASQ. JULIO 2016
16BT0201;BIATLON PRIMER TRIMESTRE ACT 1
16BX0101;BOXEO 1 TRIMESTRE
16BX0102;BOXEO 1 TRIMESTRE ACT 2
16BX0301;(BOXEO) ACT 1 ARGENTINA MARZO
16BX0601;BOXEO FRANCIA AZERBAIJAN JUNIO 2016
16BX0901;BOXEO QUITO GUAYAQUIL ECUADOR AGOSTO 2016
16C05050;
16CC0000;
16CC0101;CICLISMO ACT 1 PRIMER TRIMNESTRE
16CC0200;
16CC0201;CICLISMO  PRIMER TRIMESTRE 2016 ACT 1 MES 2
16CC0202;(CICLISMO) MTB ACT 02 FEB ARGENTINA
16CC0203;(CILCISMO) MTB ACT 3 FEBR BRASIL
16CC0204;(CICLISMO RUTA) ACT 4 FEBRERO ARGENTINA
16CC0301;CICLISMO PISTA PRIMER TRIMESTRE ACT 1 MARZO 2016
16CC0302;CICLISMO BMX ARGENTINA 2016
16CC0303;CICLISMO PISTA DAMAS MEXICO
16CC0304;CICLISMO MTB ARGENTINA
16CC0305;IMPLENTACION DEPORTIVA J.L.RODRIGUEZ CICLISMO
16CC0306;CICLISMO ASIGNACION JOSE LUIS RODRIGUEZ MARZO 2016
16CC0401;CICLISMO J.LUIS RODRIGUEZ SUIZA
16CC0402;CICLISMO MTB AUSTRALIA 2016
16CC0403;CICLISMO P.MUãOZ ARG.HOLANDA,VENEZUELA
16CC0500;
16CC0501;CICLISMO VENEZUELA MAYO 2016 J.LUIS RODRIGUEZ
16CC0502;CICLISMO CONC SUIZA J.LUIS RODRIGUEZ MAYO A JULIO 2016
16CC0503;CICLISMO RUTA FEMENINO COSTA RICA 2016 MAYO
16CC0504;CICLISMO RUTA FEMENINO VENEZUELA MAYO 2016
16CC0505;CICLISMO VENEZUELA MASC. CONC Y PANAM MAYO 2016
16CC0506;CILISMO MTB BRASIL MAYO 2016
16CC0507;CICLISMO MTB COLOMBIA MAYO 2016
16CC0508;CICLISMO CUBA IRENE ARAVENA MAYO 2016
16CC0601;CICLISMO SUIZA BRASIL JUNIO 2016 CIRIãO
16CC0602;CICLISMO PISTA SUIZA JUVENIL
16CC0603;IMPLEMENTACION JOSE.L RODRIGUEZ JUNIO 2016 2 PROG.
16CC0701;CICLISMO CONCENTRACION BRASIL JULIO A AGOSTO 2016
16CC0702;CICLISMO RUTA PAOLA ESPAãA JULIO 2016
16CC0703;IMPLEMENTACION JULIO  CICLISMO JOSE LUIS RODRIGUEZ
16CC0901;GASTOS PAOLA MUãOZ MEXICO SEPTIEMBRE 2016
16CC1001;CICLISMO PISTA PANAMERICANO MEXICO OCT 2016
16CC1002;CICLISMO BMX LIMA PERU OCTUBRE 2016
16CC1003;
16CF0101;
16CL0202;(CICLISMO) MTB ACT 02 FEB ARGENTINA
16CL0203;(CILCISMO) MTB ACT 3 FEBR BRASIL
16CL0204;(CICLISMO RUTA) ACT 4 FEBRERO ARGENTINA
16CN 040;
16CN0101;CANOTAJE 1 TRIMESTRE ACT 1
16CN0103;
16CN0201;(CANOTAJE) VEL CONC ACT 1 FEBRERO CHILE
16CN0401;CANOTAJE CURAUMA ABRIL 2016
16CN0402;CANOTAJE CONCENTRACION 2  CURAUMA ABRIL 2016
16CN0501;CANOTAJE PANAMERICANO EE.UU. 2016
16CN0502;CANOTAJE CONCENTRADO CURAUMA MAYO 2016
16CN0601;CANOTAJE FRANCIA JUNIO 2016
16cn0700;
16CN0701;CANOTAJE MUNDIAL JUNIOR BIELORRUSA JULIO 2016
16CN0702;CANOTAJE CON NACIONAL JULIO 2016
16CN1001;CANOTAJE SLALOM BRASIL OCTUBRE 2016
16CN1002;CONCENTRTADO NACIONAL LAJA OCT 2016
16CN1003;
16CN1101;SUDAMERICANO VELOCIDAD 2016 NOV ARG
16EC0101;16EC0101 ECUESTRE ACT 1 1 TRIMESTRE
16EC0102;(ECUESTRE) ACT 2 SANTIAGO ENERO
16EC0201;(ECUESTRE) BH FEBRERO
16EC0202;(ECUESTRE) ACT 2 STGO FEBRERO 2016
16EC0203;(ECUESTRE) SERVICIOS VETERINARIOS FEBRERO
16EC0204;(ECUESTRE) ACT 4 FEB BH
16EC0301;(ECUESTRE) ACT QUILLOTA MARZO
16EC0302;(ECUESTRE) MARZO 02
16EF1101;
16EG0101;ESGRIMA 1Á TRIMESTRE ACT 1
16EG0102;ESGRIMA 1 TRIMESTRE ACT 2
16EG0201;(ESGRIMA) ACT 1 ARG ESPADA DAMAS ARG
16EG0202;(ESGRIMA) SABLE ESPAãA ACT 2 FEBRERO
16EG0301;ESGRIMA 1 TRIMESTRE MES DE MARZO
16EG0302;ESGRIMA PRIMER TRIMESTRE FLORETE
16EG0303;ESGRIMA ESPADA VARONES DAMAS ACT 3
16EG0304;ESGRIMA FLORETE FEMENINO 1 TRIMESTRE
16EG0305;ESGRIMA SABLE ESPAãA CONC
16EG0401;ESGRIMA COSTA RICA ACT ABRIL 2016
16EG0402;ESGRIMA ESPADA MIXTO BRASIL  ABRIL 2016
16EG0403;ESGRIMA SABLE BRASIL  ABRIL 2016
16EG0404;ESGRIMA COSTA RICA HECTOR BRAVO ABRIL 2016
16EG0501;ESGRIMA ESPAãA MAYO 2016
16EG0502;ESGRIMA FRANCIA CROACIA ITALIA MAYO 2016
16EG0503;ESGRIMA BRASIL FLORETE 2016 MAYO
16EG0601;ESGRIMA SABLE ARGENTINA JUNIO 2016
16EG0602;ESGRIMA PANAMA PARIS INOSTROZA
16EG0603;ESGRIMA PANAMA JUNIO 2016
16EG0901;ESGRIMA ESPADA DAMAS BRASIL SEPTIEMBRE 2016
16EG0902;ESGRIMA FLORETE BRASIL SEPTIEMBRE 2016
16EG1001;ESGRIMA SABLE ARGENTINA OCTUBRE 2016
16EG1101;ESGRIMA ESPADA VARONES ARGENTINA NOV. 2016
16EN0201;(ESQUI NAUTICO) CHILE FEBRERO
16EN0301;(ESQUI NAUTICO) ACT 1  AUSTRALIA MARZO
16EN0302;(ESQUI NAUTICO) CONCENTRADO NACIONAL CHILE MARZO
16ES0101;(ESGRIMA)  SABLE ACT 1 ITALIA- POLONIA ENERO
16ES0201;(ESGRIMA) ACT 1 ARG ESPADA DAMAS ARG
16ES0202;(ESGRIMA) SABLE ESPAãA ACT 2 FEBRERO
16GM0201;(GIMNASIA) ART FEM ACT 1 CANADA FEBRERO
16GM0301;GIMNASIA TOMAS GONZALEZ ALEMANIA
16GM0302;GIMNASIA GAF ALEMANIA
16GM0401;GIMNASIA GAF USA ABRIL
16GM0402;GIMNASIA GAM USA ABRIL
16GM0403;GIMNASIA GRF USA ABRIL 2016
16GM0404;GIMNASIA GAF TOMAS GONZALEZ 2016 BRASIL
16GM0405;GIMNASIA BRASIL GAF ABRIL 2016
16GM0406;GIMNASIA DIEGO TORO BRASIL METODOLOGO
16GM0501;GIMNASIA GAM BRASIL 2016
16GM0502;GIMNASIA GAF BRASIL MAYO 2016
16GM0503;
16GM0601;GIMNASIA GAF PORTUGAL JUNIO 2016
16GM0602;GIMNASIA TOMAS GONZALEZ ESPAãA HOLANDA
16GM0901;GIMNASIA GAM BOLIVIA 2016
16GM0902;GIMNASIA GAF BOLIVIA 2016
16GM1001;GIMNASIA RITMICA OCTUBRE 2016 COLOMBIA
16GM1002;GAF OCTUBRE 2016 BOLIVIA
16GM1101;GIMNASIA RITMICA PANAMERICANO MEXICO NOV. 2016
16GM1102;GAM NOVIEMBRE 2016 PERU
16GM1103;GAF NOVIEMBRE 2016 PERU
16GM1104;ASIGNACIONES  GAF Y GAM NOVIEMBRE 2016
16GM1105;GAM DICIEMBRE 2016 ESLOVAQUIA CURSO JUECES
16GM1201;GAF DICIEMBRE 2016 ESPAãA CURSO JUECES
16GN0501;
16H01320;
16HB0101;(HOCKEY CESPED) DAMAS ARGENTINA -  ENE- ACT 1
16HB0201;HOCKEY CESPED ACT 1 ARG DAMAS
16HC0000;
16HC0103;(HEAD COACH) BOXEO JESUS MARTINEZ ENERO
16HC0105;(HEAD COACH) ESQUI NAUTICO TANNEGUY BENET ENERO
16HC0106;(GIMNASIA) KINESIOLOGA DANIELA FINGERHTH ENERO
16HC0107;(GIMNASIA) ROSAMEL ESPEJO ENERO
16HC0108;(HEAD COACH) HOCKEY CESPED ALFREDO CASTRO ENERO
16HC0109;(JUDO) HECTOR NACIMIENTO ENERO
16HC0110;(ENTRENADOR) KARATE MARCELO FERNANDEZ ENERO
16HC0111;(ENTRENADOR) KARATE RAMIRO CHIRINO ENERO
16HC0112;(LUCHA) EUGENIO MONTERO ENERO
16HC0113;(LUCHA) NESTOR ALMANZA ENERO
16HC0114;(ENTRENADOR) NATACION K.K DANIEL GARIMALDI ENERO
16HC0115;(NATACION CLAVADOS) REGINO PEREZ ENERO
16HC0116;(PATIN CARRERA) FRANCISCO FUENTES ENERO- FEBRERO
16HC0117;(HEAD COACH) PESAS GEORGI PANCHEV ENERO
16HC0118;(HEAD COACH) REMO MANUEL BIENVENIDO FRONT ENERO
16HC0120;(HEAD COACH) TENIS ALEJANDRO ROSSI ENERO
16HC0121;(HEAD COACH) TIRO AL VUELO BRUNO GUBELLINI ENERO
16HC0122;(HEAD COACH) TIRO CON ARCO MARTIN FREDERICK ENERO
16HC0123;(HEAD COACH) VOLEIBOL PLAYA CARLOS DIAS ENERO
16HC0124;(HEAD COACH) VOLEIBOL DANIEL GARIMALDI ENERO
16HC0125;(VOLEIBOL DAMAS) HUGO JAUREGUI ENERO
16HC0126;(ATLETISMO) DULCE MARGARITA GARCIA ENERO
16HC0127;(ATLETISMO) GERARDO SAN JOSE ENERO
16HC0128;(ATLETISMO) DIEGO SEPULVEDA ENERO Y FEBRERO
16HC0129;(ATLETISMO) CARLOS MORENO ENERO 2016
16HC0130;(ATLETISMO) JULIA DEL RIO ENERO
16HC0132;(ATLETISMO) TULIO MOYA ENERO 2016
16HC0134;(ATLETISMO) MARIO SALDIAS ENERO 2016
16HC0136;(ATLETISMO) CRISTIAN REYES ENERO 2016
16HC0142;(BASQUETBOL) DANIEL FROLA ENERO 2016
16HC0145;(PELOTA VASCA) FACUNDO KENNEDY ENERO-FEBRERO
16HC0203;(BOXEO) JESUS MARTINEZ FEBRERO
16HC0205;(ESQUI NAUTICO) TANNEGUY BENET FEBRERO
16HC0206;(GIMNASIA) KINE DANIELA FINGERHUTH FEBRERO
16HC0207;(GIMNASIA) ROSAMEL ESPEJO FEBRERO
16HC0208;(HOCKEY CESPED) ALFREDO CASTRO FEBRERO
16HC0209;(JUDO) HECTOR NACIMIENTO FEBRERO
16HC0210;(KARATE) MARCELO FERNANDEZ FEBRERO
16HC0211;(KARATE) RAMIRO CHIRINO FEBRERO
16HC0212;(LUCHA) EUGENIO MONTERO FEBRERO
16HC0213;(LUCHA) NESTOR ALMANZA FEBRERO
16HC0214;(NATACION K.K) DANIEL GARIMALDI FEBRERO
16HC0215;(NATACION CLAVADOS) REGINO PEREZ FEBRERO
16HC0217;(PESAS) GEORGI PANCHEV FEBRERO
16HC0218;(REMO) MANUEL FRONT FEBRERO
16HC0220;(TENIS) ALEJANDRO ROSSI FEBRERO
16HC0221;(TIRO AL VUELO) BRUNO GUBELLINI FEBRERO
16HC0222;(TIRO CON ARCO) MARTIN FREDERICK FEBRERO
16HC0223;(VOLEIBOL PLAYA) CARLOS DIAS FEBRERO
16HC0224;(VOLEIBOL) DANIEL NEJAMKIN FEBRERO
16HC0225;(VOLEIBOL) HUGO JAUREGUI FEBRERO
16HC0226;(ATLETISMO) DULCE MARGARITA GARCIA FEBRERO
16HC0227;(ATLETISMO) GERARDO SAN JOSE FEBRERO
16HC0228;
16HC0229;(ATLETISMO) CARLOS MORENO FEBRERO
16HC0230;(ATLETISMO) JULIA DEL RIO FEBRERO
16HC0232;(ATLETISMO) TULIO MOYA FEBRERO
16HC0234;(ATLETISMO) MARIO SALDIAS FEBRERO
16HC0236;(ATLETISMO) CRISTIAN REYES FEBRERO
16HC0242;(BASQUETBOL) DANIEL FROLA FEBRERO
16HC0245;
16HC0301;(BALONMANO) MATEO GARRALDA MARZO
16HC0303;(BOXEO) JESUS MARTINEZ MARZO
16HC0305;(ESQUI NAUTICO) TANNEGUY BENET MARZO
16HC0306;(GIMNASIA) KINESIOLOGA DANIELA FINGERHUTH MARZO
16HC0307;(GIMNASIA) KINE ROSAMEL ESPEJO MARZO
16HC0308;(HOCKEY CESPED) ALFREDO CASTRO MARZO
16HC0309;(JUDO) HECTOR NACIMIENTO MARZO
16HC0311;(KARATE) RAMIRO CHIRINO MARZO
16HC0312;(LUCHA) EUGENIO MONTERO MARZO
16HC0313;(LUCHA) NESTOR ALMANZA MARZO
16HC0314;(NATACION K.K) DANIEL GARIMALDI MARZO
16HC0315;(NATACION) REGINO PEREZ MARZO
16HC0316;(PATIN CARRERA) FRANCISCO FUENTES MARZO
16HC0317;(PESAS) GEORGI PANCHEV MARZO
16HC0318;(REMO) MANUEL BIENVENIDO FRONT MARZO
16HC0320;(TENIS DE CAMPO) ALEJANDRO ROSSI MARZO
16HC0321;(TIRO AL VUELO) BRUNO GUBELLINI MARZO
16HC0322;(TIRO CON ARCO) MARTIN FREDERICK MARZO
16HC0323;(VOLEIBOL PLAYA) CARLOS DIAS GARRIDO MARZO
16HC0324;(VOLEIBOL) DANIEL NEJAMKIN MARZO
16HC0325;(VOLEIBOL PISO) HUGO JAUREGUI MARZO
16HC0326;(ATLETISMO) DULCE MARGARITA GARCIA MARZO
16HC0327;(ATLETISMO) GERARDO SAN JOSE MARZO
16HC0328;(ATLETISMO) DIEGO SEPULVEDA MARZO
16HC0329;(ATLETISMO) CARLOS MORENO MARZO
16HC0330;(ATLETISMO) JULIA DEL RIO MARZO
16HC0332;(ATLETISMO) TULIO MOYA MARZO
16HC0334;(ATLETISMO) MARIO SALDIAS MARZO
16HC0336;(ATLETISMO) CRISTIAN REYES MARZO
16HC0342;(BASQUETBOL) DANIEL FROLA MARZO
16HC0345;(PELOTA VASCA) FACUNDO KENNEDY MARZO
16HC0401;(BALONMANO) MATEO GARRALDA ABRIL
16HC0402;HC BALONMANO MIGUEL INTERLLIGE 2016
16HC0403;(BOXEO) JESUS MARTINEZ ABRIL
16HC0405;(ESQUI NAUTICO) TANNEGUY BENET ABRIL
16HC0406;(GIMNASIA) KINESIOLOGA DANIELA FINGERHUTH ABRIL
16HC0407;(GIMNASIA) ROSAMEL ESPEJO ABRIL
16HC0408;(HOCKEY CESPED) ALFREDO CASTRO ABRIL
16HC0409;(JUDO) HECTOR NACIMIENTO ABRIL
16HC0411;(KARATE) RAMIRO CHIRINO ABRIL
16HC0412;(LUCHA) EUGENIO MONTERO ABRIL
16HC0413;(LUCHA) NESTOR ALMANZA ABRIL
16HC0414;(NATACION K.K) DANIEL GARIMALDI ABRIL
16HC0415;(NATACION CLAVADOS) REGINO PEREZ ABRIL
16HC0416;(PATIN CARRERA) FRANCISCO FUENTES ABRIL
16HC0417;(PESAS) GEORGI PANCHEV ABRIL
16HC0418;(REMO) MANUEL BIENVENIDO FRONT ABRIL
16HC0421;(TIRO AL VUELO) BRUNO GUBELLINI ABRIL
16HC0422;(TIRO CON ARCO) MARTIN FREDERICK ABRIL
16HC0423;(VOLEIBOL PLAYA) CARLOS DIAS GARRIDO ABRIL
16HC0424;(VOLEIBOL) DANIEL NEJAMKIN ABRIL
16HC0426;(ATLETISMO) DULCE MARGARITA GARCIA ABRIL
16HC0427;(ATLETISMO) GERARDO SAN JOSE ABRIL
16HC0428;(ATLETISMO) DIEGO SEPULVEDA ABRIL
16HC0430;(ATLETISMO) JULIA DEL RIO ABRIL
16HC0432;(ATLETISMO) TULIO MOYA ABRIL
16HC0434;(ATLETISMO) MARIO SALDIAS ABRIL
16HC0436;(ATLETISMO) CRISTIAN REYES ABRIL
16HC0437;(PATIN CARRERA) GUSTAVO AGUILERA ABRIL
16HC0442;(BASQUETBOL) DANIEL FROLA ABRIL
16HC0502;HC MIGUEL INTERLLIGE BALONBAMO 2016
16HC0503;HC BOXEO JESUS MARTINEZ MAYO
16HC0505;HC TANNEGUY BENET MAYO 2016
16HC0506;KINE GIM DANIELA FINGERHUTH MAYO
16HC0508;HC HOCKEY CESPED ALFREDO CASTRO MAYO
16HC0509;HC JUDO HECTOR NACIMIENTO MAYO 2016
16HC0511;HC KARATE RAMIRO CHIRINO MAYO 2016
16HC0512;HC LUCHA EUGN. MONTERO MAYO
16HC0513;HC LUCHA NESTOR ALMANZA
16HC0515;HC NATACION REGINO PEREZ MAYO
16HC0517;HC PESAS GEORGI PANCHEV MAYO 2016
16HC0518;HC REMO BIENVENIDO FRONT MAYO 2016
16HC0521;HC TIRO VUELO BRUNO GUBELLINI MAYO
16HC0522;HC TIRO ARCO MARTIN FREDERICK MAYO 2016
16HC0523;HC VOLEY PLAYA CARLOS GARRIDO MAYO
16HC0524;HC DANIEL NEJAMKIN VOLEIBOL MAYO
16HC0526;HC ATLET DULCE GARCIA MAYO
16HC0527;HC GERARDO SN JOSE ATLETISMO MAYO
16HC0528;HC DIEGO SEPULVEDA ATLET MAYO
16HC0529;HC ATLET CARLOS MORENO MAYO
16HC0530;HC ATLET JULIA DEL RIO MAYO
16HC0534;HC MARIO SALDIAS ATLET MAYO
16HC0535;HC ATLET GUIDO NUãEZ MAYO
16HC0536;HC CRISTIAN REYES ATLET MAYO
16HC0537;HC PATIN GUSTAVO AGUILERA MAYO
16HC0542;HC BASQUET DANIEL FROLA MAYO
16HG0301;
16HK0201;(HOCKEY CESPED) ACT 1 ARG DAMAS FEBRERO 2016
16HK0301;(HOCKEY CESPED) ACT 1 TRINIDAD & TOBAGO MARZO
16HP0201;(HOCKEY PATIN) ACT 1 ARG FEBRERO
16HP0301;(HOCKEY PATIN) ACT 01 MARZO ARGENTINA
16HP1201;HOCKEY PATIN DICIEMBRE 2016 ARGENTINA
16JD0000;
16JD0101;PRIMER TRIMESTE JUDO
16JD0201;JUDO PRIMER TRIMESTRE FEBRERO ACT 1
16JD0301;(JUDO) ACT 1 LIMA- PERU MARZO
16JD0401;JUDO CUBA AZERBAIJAN KAZAKHSTAN ABRIL 2016
16JD0501;JUDO ESPAãA MAYO 2016
16JD0701;JUDO BRASIL JULIO 2016
16JD1101;JUDO NOVIEMBRE 2016 JAPON
16KT0101;KARATE PRIMER TRIMESTRE 2016
16KT0301;(KARATE) ACT 1 EEUU MARZO
16KT0501;KARATE BRASIL MAYO 2016
16KT0601;KARATE JUNIO 2016 DENVER
16KT0602;KARATE JUNIO 2016 COLOMBIA
16KT0801;KARATE AGOSTO 2016 COLOMBIA
16KT0802;KARATE AGOSTO 2016 ECUADOR
16KT0901;KARATE SEPTIEMBRE 2016 PL BRASIL
16KT0902;KARATE SEPTIEMBRE 2016 PL ALEMANIA
16KT1000;
16KT1001;KARATE OCTUBRE 2016 PORTUGAL
16KT1002;KARATE OCTUBRE 2016 AUSTRIA
16LC0101;LUCHA PRIMER TRIMESTRE 2016
16LC0201;LUCHA PRIMER TRIMESTRE MES FEBRERO
16LC0501;LUCHA VENEZUELA CUBA MAYO JUNIO 2016
16LC1101;LUCHA NOVIEMBRE 2016 COLOMBIA
16LC1102;LUCHA NOVIEMBRE 2016 BRASIL
16NS0101;NATACION 1 TRIMESTRE 2016
16NS0102;NADO SINGRONIZADO ACT 2 1 TRIMESTRE
16NS1010;
16NT0101;NATACION PRIMER TRIMESTRE
16NT0102;NADO SINGRONIZADO ACT 2 1 TRIMESTRE
16NT0201;(NATACION) SINCRONIZADO ACT 1 FEBRERO
16NT0202;KRITEL KOBRICH CORDOVA STGO CORDOVA FEBRERO 2016
16NT0301;(NATACION) AGUAS ABIERTAS ACT 1 PARAGUAY MARZO
16NT0302;(NATACION) KRISTEL KOBRICH ACT 2 EEUU
16NT0303;NADOSINCRONIZADO PARAGUAY
16NT0304;NATACION CLASICA PARAGUAY
16NT0305;NATACION POLO
16nt0306;NATACION SALTO ORNAMENTALES MARZO 2016
16NT0401;NATACION CLASICA BRASIL ABRIL 2016
16NT0402;NATACION K.K ARIZONA USA ABRIL 2016
16NT0403;NATACION ORNAMENTALES MEDELLIN COLOMBIA 2016
16NT0404;MATACION CLASICA CALI COLOMBIA 2016
16NT0501;NATACION K.K USA MAYO 2016
16NT0601;NATACION KRISTEL KOBRICH PORTUGAL JUNIO 2016
16NT0801;NATACION KK AGOSTO 2016 SANTIAGO
16NT1001;NATACION CLASICA OCTUBRE 2016 BRASIL
16NT1002;NADO SINCRONIZADO COACH EXTRANJERA
16NT1101;NADO SINCRONIZADO NOVIEMBRE 2016 BRASIL
16NT1102;NATACION AGUAS ABIERTAS NOVIEMBRE 2016 ECUADOR
16NT1201;NATACION KK ARGENTINA DICIEMBRE 2016
16PA0101;PATINAJE ARTISTICO USA 1 TRIMESTRE
